question,type,answer,prediction,meteor_score,bleu_score,rouge_1,rouge_2,rouge_l,Accuracy_pred,Accuracy_ref,Token_count
Which of the following is not usually an adverse reaction to chronic treatment with corticoids ?:,FCT,Arterial hypotension.,"The correct answer is Hyperglycemia.

Explanation: Adverse effects of chronic treatment with corticoids include osteoporosis, hypercholesterolemia and hyperlipidemia, and arterial hypotension.",0.555555556,3.51E-155,0.090909089,0,0.090909089,0.095238095,1,188
"If the symphysiofundal height is 40 cm and the station of the head is at -1, weight of the fetus is approximately",FCT,4.3 kg,"The student's answer is correct.

The correct answer is 4 kg.

Explanation:
The symphysiofundal height is 40 cm.
The station of the head is -1.
Weight of the fetus is 4 kg.
The symphysiofundal height of 40 cm is indicating that the head is engaged and the station of the head is -1 cm.
Weight of the fetus is 4 kg.
So the correct answer is 4 kg.",0.052083333,6.13E-232,0.148148146,0,0.148148146,0.014492754,0.333333333,179
What disorder of the personality includes as criteria to express a superficial and rapidly changing emotional expression ?:,FCT,The histrionic disorder of the personality.,"Correct answer: Both the narcissistic disorder and the personality limit.

Explanation: The narcissistic personality disorder is characterized by an excessive need for admiration, a sense of entitlement, and a lack of empathy for others. The borderline personality disorder is characterized by impulsivity, mood instability, and a fear of abandonment.",0.247933884,3.08E-155,0.263157892,0.041666665,0.263157892,0.020408163,0.166666667,202
"What are the distinctive characteristics of ""Contextual Therapies"":",FCT,"The relevance that these therapies confer to the context, to the verbal behavior and to the functions of the behaviors rather than to their form.","The student's answer is correct.

The correct answer is: The consideration of variables so far not taken into account as motivations, interests, learning history and customer values, among other contextual variables.

The other options are incorrect.",0.139372822,1.06E-231,0.124999995,0,0.083333329,0.027027027,0.04,318
Which among the following shows pseudo-epitheliomatous hyperplasia?,FCT,Granular cell myoblastorna,"The correct answer is Verrucous carcinoma.

Explanation:
Pseudoepitheliomatous hyperplasia is seen in verrucous carcinoma. Verrucous carcinoma is a type of squamous cell carcinoma that grows slowly and has a good prognosis.",0.080645161,7.49E-232,0.074074072,0,0.074074072,0.032258065,0.333333333,180
A lady washes her hands 40 times per day for no apparent reason.  Cognitive behavior therapy for her treatment should include?,FCT,Response prevention,"The correct answer is Desensitisation.

The lady in the question is exhibiting a habit of excessive hand washing, which is a symptom of Obsessive-compulsive disorder. Cognitive behavior therapy is a treatment of choice for Obsessive-compulsive disorder and the technique used here is Exposure and response prevention. Exposure is desensitization to the stimulus and response prevention is preventing the patient from performing the compulsive behavior.

Desensitization is the process of gradually exposing the patient to the stimulus while preventing the response, which in this case is hand washing.",0.089285714,5.85E-232,0.038461538,0,0.038461538,0.02247191,1,175
Which of the following is NOT an intravenous anesthetic ?:,FCT,Halotano.,"Correct answer: Ketamine

Explanation: Ketamine is an intramuscular anesthetic.",0.166666667,9.79E-232,0,0,0,0,0,164
Mother to children's transmission is a key feature of which pattern of inheritance?,FCT,Mitochondrial inheritance,"Correct answer: Mitochondrial inheritance

Explanation: The correct answer is Mitochondrial inheritance. Mitochondrial DNA is inherited only from the mother and so is passed from mother to child. Mitochondrial inheritance is a pattern of inheritance where the genetic information is passed from the mother only.",0.149253731,2.55E-155,0.142857142,0.052631578,0.142857142,0.045454545,1,170
Nutrient aery runs ?,FCT,Towards metaphysis,Correct answer: Away from metaphysis,0.208333333,1.16E-231,0.285714282,0,0.285714282,0.2,0.5,159
Amphotericin B is an antifungal agent that is characterized by:,FCT,"Half of its structure is hydrophilic and the other half lipophilic, and interacts with the lipids of the membrane to form a tunnel by association of several molecules.","The correct answer is: It has a helical peptide structure that crosses the membrane and allows the exit of ions.

The student's answer is: It has a helical peptide structure that crosses the membrane and allows the exit of ions.

The statement is: It has a helical peptide structure that crosses the membrane and allows the exit of ions.

The correct statement is: Amphotericin B is an antifungal agent that is characterized by a helical peptide structure that crosses the membrane and allows the exit of ions.

The student's answer is correct.",0.201072386,2.85E-155,0.307692303,0.030769226,0.192307687,0.010638298,0.035714286,313
A lateral sliding flap done on a tooth with roots denuded for 6 years will show,FCT,Epithelium adjacent to previously denuded root surface,"Correct answer: PDL fibres attached to cementum

Explanation: PDL fibres are attached to cementum in a lateral sliding flap done on a tooth with roots denuded for 6 years.",0.210526316,9.11E-232,0.13333333,0,0.13333333,0.034482759,0.142857143,209
Calcification in enamel starts at :,FCT,DEJ,"The correct answer is: Enamel matrix

Calcification in enamel starts at the enamel matrix.",0,0,0,0,0,0,0,152
Anti monsoon curve seen in :,FCT,All of the above.,"Correct answer: Premolar

Explanation: Anti monsoon curve is seen in Premolars.",0.084745763,9.42E-232,0,0,0,0,0,155
White radiating Lines can be observed in case of Lesions of,FCT,Lichen planus,"The student's answer is correct.

White radiating lines can be observed in case of Lesions of Erythema multiforme.

So, the correct answer is option 1 i.e. Erythema multiforme.",0,0,0,0,0,0,0,182
Reticulocytosis is seen in:,FCT,Hemolytic anemia,"Correct answer: Megaloblastic anemia

Explanation: Reticulocytosis is seen in Megaloblastic anemia, hemolytic anemia, aplastic anemia.",0.263157895,8.61E-232,0.14285714,0,0.14285714,0.133333333,1,178
Flow cytometry is done on,FCT,Lymphocytes,"The student's answer is correct.

Flow cytometry is done on Basophils.",0,0,0,0,0,0,0,158
"During investigation of an epidemic, the area is declared free of epidemic when?",FCT,Twice the incubation period of the disease since occurrence of the last case,"Correct answer: Incubation period for the disease plus two standard detions

Explanation: During the investigation of an epidemic, the area is declared free of epidemic when the incubation period of the disease has passed since the occurrence of the last case. This is done to ensure that the disease has been completely eradicated from the area.",0.607248752,0.13180524,0.367346936,0.262295079,0.367346936,0.107142857,0.461538462,233
"When the patient can not eat, because the liver can be gluconeogenesis, hypoglycemia general still will not, which of the following substances can not be converted to glucose?",FCT,ethanol,The student's answer is correct.,0,0,0,0,0,0,0,183
"A 3-year-old girl is brought to the emergency department by her parents for an acute arm injury. The mother reports that they were walking in the park and the patient’s dad was swinging the patient in the air by her arms. The dad reports he then heard a click and the patient immediately began to cry. On examination, the patient is holding her right forearm in a pronated position and her elbow slightly flexed. Pain is localized to the lateral aspect of the elbow. She refuses to use the affected limb. She does allow passive flexion and extension with full range of motion but supination is limited and causes pain. Which of the following is the next step in management?",FCT,Moderate flexion then hyperpronation,"The correct answer is: Supination then maximal extension.

The student's answer is correct.",0.094339623,8.97E-232,0.142857139,0,0.142857139,0.071428571,0.25,302
"Cell damage, the influx of calcium ions inside the cell, it does not cause a change?",FCT,Phospholipase activity reduces resistance,"Correct answer: Cell membrane damage

Justification: Cell damage, the influx of calcium ions inside the cell, it does not cause a change in phospholipase activity, protein phosphorylation, or separation of the cytoskeleton.",0.25,7.29E-232,0,0,0,0.0625,0.5,185
The base of an X-ray film is composed of:,FCT,Polyester,The correct answer is: Bromide,0,0,0,0,0,0,0,158
"A patient presents with icterus, but there is no evidence of bilirubin in urine. What is the most likely cause of jaundice in this patient?",FCT,Hemolysis,"The correct answer is indeed Biliary atresia.

Explanation: In biliary atresia, the bile ducts are absent or obliterated, and the bilirubin is not excreted in the urine. In this case, the patient is expected to have conjugated hyperbilirubinemia and the absence of bilirubin in the urine.",0,0,0,0,0,0,0,197
Which of the following structure is not derived from external oblique muscle:,FCT,Linea Semilunaris,"The correct answer is: Inguinal ligament

The inguinal ligament is a fibrous band of fascia that extends from the pubic tubercle to the anterior superior iliac spine. It is derived from the aponeurosis of the external oblique muscle, but it is not itself a muscle.",0,0,0,0,0,0,0,179
"A 51-year-old man comes to the emergency department because of a 3-day history of shortness of breath, fever, and chills. He has no history of serious illness. His temperature is 39.5°C (103.1°F). Physical examination shows a grade 4/6, holosystolic, blowing murmur over the apex that radiates to the axilla. Crackles are heard in both lower lung fields. Examination of the extremities shows several non-tender, non-blanching, erythematous macules on the palms and soles. Histopathologic examination of these macules is most likely to show which of the following?",FCT,Microabscesses with neutrophil infiltration of capillaries,"The student's answer is correct.

The student's answer is correct. The description provided is of septic emboli with septic vasculitis, which is a complication of infective endocarditis. The cleft-like vacuoles are the characteristic histological feature of septic vasculitis.

The correct answer is option 2: Cleft-like vacuoles within the arterioles.",0.089285714,7.85E-232,0.111111108,0,0.111111108,0.018867925,0.166666667,352
"If the ileum is excised, what will increase in stool?",FCT,Bile salts,The student's answer is correct.,0,0,0,0,0,0,0,161
"A 25-year-old Ashkenazi Jewish man presents to his primary care physician for a follow-up visit. One week ago, he presented with a chief complaint of priapism while engaging in intercourse with two of his partners. During that visit, it was determined that his blood pressure was 175/100 mmHg. He returns this week to have his vitals rechecked. His temperature is 99.5°F (37.5°C), pulse is 80/min, blood pressure is 182/100 mmHg, respirations are 10/min, and oxygen saturation is 98% on room air. Bloodwork is drawn and is shown below.

Serum:
Na+: 139 mEq/L
K+: 3.7 mEq/L
Cl-: 100 mEq/L
HCO3-: 28 mEq/L
Urea nitrogen: 9 mg/dL
Glucose: 122 mg/dL
Creatinine: 1.0 mg/dL
Ca2+: 9.8 mg/dL
Mg2+: 1.7 mg/dL

After a physical exam is performed, which of the following is the best initial step in management for this patient's underlying condition?",FCT,Duplex ultrasound,"Correct answer: 24-hour urinary cortisol

The correct answer is option 2: ""24-hour urinary cortisol"".

The patient is presenting with hypeension, which is a common finding in primary aldosteronism. The patient's blood work shows a high serum potassium, which is consistent with hyperaldosteronism. The next step in management is to perform a 24-hour urinary cortisol to confirm the diagnosis.",0,0,0,0,0,0,0,432
"Tear film (tear film) middle (middle aqueous layer), which is secreted by the component Which of the following?",FCT,Lacrimal gland (lacrimal gland),"The correct answer is Conjunctival goblet cells.

The middle layer of the tear film is composed of the aqueous layer, which is secreted by the conjunctival goblet cells.",0,0,0,0,0,0,0,220
"Percentage of Phosphoric acid where Dicalcium phosphate
monohydrate is formed that cannot be rinsed off.",FCT,25%,"Correct answer: 85%

The student's answer is correct.",0.166666667,9.79E-232,0,0,0,0,0,175
"A 50 years okl smoker and hypeensive was diagnose to have non-small cell lung carcinoma with brain metastases. He is on enalapril and hydrochlorothiazide for hypeension. On investigation, he had a serum Sodium 120 mg/dl|, Urinary Sodium ll0 mg/dl, Serum creatinine 0.8 mg/dL, Serum osmolarity 285 mOsm/L, Urinary osmolarity 35l mOsm/L, Urinary K+ 9 mg/dl, Blood sugar ll2 mgldL and BP of 150/90 mm Hg. Which of the following is the mnst probable cause for his hyponatremia?",FCT,SIADH,"The correct answer is indeed ""Cerebral salt wasting"".

Here's why:

The patient has hyponatremia (serum sodium 120 mg/dL), and his urine sodium is 110 mg/dL, which is in the normal range. This suggests that he is not losing sodium in the urine, which is a characteristic of cerebral salt wasting.

The patient's blood pressure is 150/90 mm Hg, which is controlled with enalapril and hydrochlorothiazide, which are both diuretics. However, his serum creatinine is 0.8 mg/dL, which is normal,",0,0,0,0,0,0,0,306
Which cells are decreased in chronic periodontitis?,FCT,T-lymphocytes,"Correct answer: B-lymphocytes

The student's answer is correct.",0,0,0,0,0,0.1,0.5,170
Which primary tooth resemble premolar,FCT,Upper 1st molar,"The correct answer is: Lower 2nd molar

The student's answer is confirmed.",0.119047619,9.26E-232,0.15384615,0,0.15384615,0.076923077,0.333333333,178
The Fc portion of which of the following Ig binds to complement and fixes it?,FCT,IgM,"The student's answer is correct.

The Fc portion of IgD binds to complement and fixes it.

IgD is the least abundant immunoglobulin in the blood and is found on the surface of mature B cells. It does not fix complement and has little or no antibody activity.",0,0,0,0,0,0,0,167
Which focal length in the objective piece of microscope is commonly used for ear surgery?,FCT,250 mm,"The correct answer is 100mm.

Explanation: The objective lens of the microscope is the lens that forms the image of the specimen on the ocular lens. The focal length of the objective lens is typically 4mm, 10mm, 40mm, and 100mm.",0,0,0,0,0,0,0,159
Bohler's angle is seen in:,FCT,Calcaneum,Correct answer: Talus,0,0,0,0,0,0,0,155
The electrochemical potential is related to:,FCT,The free energy of reaction ΔG.,"The student's answer is correct.

The electrochemical potential is related to the limit intensity of diffusion.",0.182926829,1.15E-231,0.199999996,0,0.199999996,0.058823529,0.166666667,183
"In the so-called ""serial position curve"", the recency effect is due to:",FCT,The operation of the Short Term Memory.,"The student's answer is correct.

The recency effect is the tendency to remember the last items in a list better than the items in the middle of the list.",0.303485577,3.76E-155,0.222222218,0.060606058,0.222222218,0.066666667,0.285714286,195
Which of the following is premalignant -,FCT,Submucous fibrosis,"Correct answer: Chronic glossitis

Explanation: The premalignant conditions are submucous fibrosis and chronic glossitis.",0.535714286,8.97E-232,0.133333331,0,0.133333331,0.142857143,1,174
"After many proteins must bind to metal ions in order to show the right features, which of the following amino acid side chains have the ability to directly bind to metal ions?",FCT,Half 胱胺 acid (cysteine),"The correct answer is Half 胱胺 acid (cysteine).

After many proteins must bind to metal ions in order to show the right features, which of the following amino acid side chains have the ability to directly bind to metal ions?

A. Half 胱胺 acid (cysteine)
B. Alanine (alanine)
C. Phenylalanine (Phenylalanine)
D. Proline (proline) 27 vitamin lipoic acid and biotin in combination with the amino acids in the enzyme molecule?

Answer: Half 胱胺 acid (cysteine",0.403348554,0.048134913,0.137931033,0.085714285,0.137931033,0.053333333,1,240
"Most widely used vaccine, beside OPV ?",FCT,BCG,"The correct answer is indeed 'TT'.

Explanation: The most widely used vaccine is Influenza.",0,0,0,0,0,0,0,154
"A 72-year-old patient, taking oral hypoglycemic agents for many years, most recently five days because of ""cold"" to become sleepy, sent by their families to emergency medical treatment, when arrival at the hospital, blood pressure of 120/80 mmHg, no abnormal findings on neurological examination , laboratory data as follows: WBC: 14,500 / mm3, ketone:",FCT,0.9% NaCl 3000 mL infusion,"The student's answer is correct.

Explanation: The patient has hypoglycemia, which is a common side effect of oral hypoglycemic agents. The hypoglycemia is caused by a shift of glucose from the blood into the brain, resulting in a state of hypoglycemic coma. The treatment for hypoglycemia is to administer a rapid-acting source of glucose, such as 7% sodium bicarbonate 40 mL intravenous.",0.079365079,7.44E-232,0.037735847,0,0.037735847,0.015625,0.166666667,280
Most potent H2 antagonist is :?,FCT,Famotidine,Correct answer: Ranitidine,0,0,0,0,0,0,0,164
pH of intracellular fluid is ?,FCT,Slightly less than ECF,"The correct answer is: Same as ECF

Explanation: Intracellular pH is same as ECF. Ref: Textbook of physiology, D. K. Gupta, 7th edition, pg. 38.",0.071428571,7.54E-232,0.074074072,0,0.074074072,0.04,0.25,171
