question,context,answer,prediction,meteor_score,bleu_score,rouge_1,rouge_l,Accuracy_pred,Accuracy_ref
What city located in Florida is the birthplace of the Rector of Most Holy Trinity Seminary?,"Donald J. Sanborn (born February 19, 1950) is a sedeprivationist Roman Catholic bishop, Rector of Most Holy Trinity Seminary in Brooksville, Florida, and major proponent of the thesis of Bishop Guérard des Lauriers.Brooksville is a city in and the county seat of Hernando County, Florida, United States.",FAIL,PASS,0,0,0,0,0,0
"The Single Guy is an American television sitcom that ran for two seasons on NBC, from September 1995 to April 1997, the series starred Ming-Na Wen as Sam's wife, Ming-Na Wen is an American actress, born when?"," The series also starred Joey Slotnick as Eliot's best friend Sam Sloan, Ming-Na Wen as Sam's wife Trudy and Ernest Borgnine as doorman Manny, throughout its entire run.Ming-Na Wen (; born November 20, 1963) is an American actress.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"""So Sorry, I Said"" is a single by a singer and actress that won an Acadmeny Award for her role as Sally Bowles in what film?","""So Sorry, I Said"" is the third single taken from the Liza Minnelli album ""Results"". Primarily known for her Academy Award-winning role as Sally Bowles in the 1972 musical film ""Cabaret"" directed by Bob Fosse, she is noted for her energetic stage presence and her powerful contralto singing voice.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
What was named one of the seven wonders fo the architetural world by the magazine that has won twenty-five National Magazine awards?," It was created on the coast of Tanghe River in July 2006, and is home to the Red Ribbon, a red steel bench which stretches for half a kilometre through the park. The Ribbon has won an honor award from the American Society of Landscape Architects, and was chosen by the readers of ""Condé Nast Traveler"" magazine as one of the seven wonders of the architectural world. The magazine has won twenty-five National Magazine Awards.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Which was around longer in 2010, Miss Universe or Miss Perú?","Miss Perú 2010, the 58th Miss Perú pageant was held at the on May 22, 2010.Miss Universe 2010, the 59th Miss Universe pageant, was held on 23 August 2010 at Mandalay Bay Events Center in Las Vegas, Nevada, USA.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
George Raymond Jr was a member of a political party created in what year?,"George Raymond, Jr. (January 1, 1943 – March 8, 1973) was an African-American civil rights activist, a member of the Mississippi Freedom Democratic Party, a Freedom Rider, and head of the Congress of Racial Equality in Mississippi in the 1960s.The Mississippi Freedom Democratic Party (MFDP) was an American political party created in 1964 as a branch of the populist Freedom Democratic organization in the state of Mississippi during the Civil Rights Movement.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Who was this British archaeologist and officer in the British Army contributed to the excavation of Stone Age and megalithic sites of South India with K. V. Soundararajan?, He was known for his pioneering work in excavating Stone Age and megalithic sites of South India along with Mortimer Wheeler and V. D. Krishnaswami in the late 1940s and the 1950s.Sir Robert Eric Mortimer Wheeler (10 September 1890 – 22 July 1976) was a British archaeologist and officer in the British Army.,PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Vala is a character that is mentioned in the world created by what English author?," They are mentioned in ""The Lord of the Rings"", but were developed earlier in material published posthumously in ""The Silmarillion"" and ""The History of Middle-earth"".The Lord of the Rings is an epic high fantasy novel written by English author and scholar J. R. R. Tolkien.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
What 1979 comedy film stars an actor who is also a poker commentator in real life?," ""Fast Break"" stars Gabe Kaplan as David Greene, Harold Sylvester as D.C. and Bernard King as Hustler.Gabriel Weston ""Gabe"" Kaplan (born March 31, 1945) is an American comedian, actor, poker commentator, and professional poker player.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
What is the name of the American Actress who serves as spokeswoman for Fashion for Relief?,"Fashion for Relief is a charitable organization founded in 2005 that has raised funds for various environmental and humanitarian causes. Its spokeswoman is Naomi Campbell, who attracts high-profile individuals in the fashion, film, music, and television industries to participate in the show.Naomi Elaine Campbell (born 22 May 1970) is an English model and actress.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
"What is the opening date of this recording studio opened by a rock and roll pioneer in Memphis, Tennessee, where Million Dollar Quarter was recorded?","""Million Dollar Quartet"" is a recording of an impromptu jam session involving Elvis Presley, Jerry Lee Lewis, Carl Perkins, and Johnny Cash made on December 4, 1956, at the Sun Record Studios in Memphis, Tennessee.Sun Studio is a recording studio opened by rock-and-roll pioneer Sam Phillips at 706 Union Avenue in Memphis, Tennessee, on January 3, 1950.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Which actor, who stars in the 1926 silent film comedy directed by William A. Seiter, was an amateur boxing champion?","What Happened to Jones is a 1926 silent film comedy directed by William A. Seiter and starring Reginald Denny.Reginald Denny (born Reginald Leigh Dugmore, 20 November 1891 – 16 June 1967) was an English stage, film and television actor as well as an aviator and UAV pioneer.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
"This medicine was marketed with a Spokestoon to minor aches, pains, inflammation, fever, headache, heartburn, stomachache, indigestion, acid reflux and hangovers, while neutralizing excess stomach acid."," It should not be equated with a cartoon character invented specifically to give identity to a product, such as the Michelin Man, Speedy Alka-Seltzer or the Pillsbury Doughboy. Alka-Seltzer is marketed for relief of minor aches, pains, inflammation, fever, headache, heartburn, stomachache, indigestion, acid reflux and hangovers, while neutralizing excess stomach acid.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
"What Carnegie library building located in the most populous city in Kansas was built in 1915, and listed on the National Register of Historic Places in 1987?","The Wichita City Carnegie Library Building located at 220 S. Main Street in Wichita, Kansas, Sedgwick County, Kansas, United States, is a Carnegie library built in 1915. It was listed on the National Register of Historic Places in 1987. The county seat is Wichita, the most populous city in the state.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"The song ""Your Mother Should Know"" is based on a line from a film released in what year?"," It was written by Paul McCartney (credited to Lennon–McCartney) based on a line from the screenplay for ""A Taste of Honey"".A Taste of Honey is a 1961 British film adaptation of the play of the same name by Shelagh Delaney.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
What was Congressman Gerry Eastman Studds censured for in the year that his congressional district was eliminated?," It was eliminated in 1983 after the 1980 U.S. Census. Its last location was in southeastern Massachusetts and its last Congressman was Gerry Studds, who was redistricted into the tenth district. In 1983 he was censured by the House of Representatives after he admitted to an inappropriate relationship with a 17-year-old page.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Was Jan Egil Storholt born in the third largest city in Norway?,"Jan Egil Storholt (born 13 February 1949) is a former speed skater from Norway. He was born in Trondheim. It is the third largest city in the country, with a population (2013) of 169,972 inhabitants within the city borders.",FAIL,PASS,0,0,0,0,0,0
Are Desiree Akhavan and Ilya Naishuller both Russian?,"Desiree Akhavan (1984) is an Iranian-American film director, producer, screenwriter and actress based in New York.Ilya Viktorovich Naishuller (""Russian"": Илья Викторович Найшуллер; born 1983, Moscow, USSR) is a Russian musician, film director, and screenwriter.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
Are Ima Robot and Of Montreal music bands ?,"Ima Robot is a band based in Los Angeles, California that formed in the late 1990s.of Montreal is an American experimental pop band from Athens, Georgia.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"What town does the Mount Agamenticus region covers has the summer resort's name means ""beautiful place by the sea""?","The Mount Agamenticus region covers nearly 30,000 acres (121 km²) in the southern Maine towns of Eliot, Ogunquit, South Berwick, Wells and York. The summer resort's name means ""beautiful place by the sea"".",FAIL,"The Mount Agamenticus region covers nearly 30,000 acres (121 km²) in the southern Maine towns of Eliot, Ogunquit, South Berwick, Wells and York. The summer resort's name means ""beautiful place by the sea"". 

The town that does the summer resort's name means ""beautiful place by the sea"" is York.

### Answer:
FAIL",0.064102564,6.32E-232,0.051282051,0.051282051,0.02173913,1
What pieces of work are Mercy Malick known for aside from the American television series developed by Rob Thomas and Diane Ruggiero-Wright?," She is best known for Mission Control, Major Crimes, Circle, and iZombie.iZombie (stylized as iZOMBiE) is an American television series developed by Rob Thomas and Diane Ruggiero-Wright for The CW.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Which television show premiered in 2008 and featured a contestant who previously starred in ""Hannah Montana""?","Cody Martin Linley (born November 20, 1989) is an American actor and singer. He played a recurring role as Jake Ryan in the television series ""Hannah Montana"", and was a contestant on the seventh season of ""Dancing With The Stars"", in which he was partnered with Julianne Hough and finished fourth.Season seven of ""Dancing with the Stars"" premiered on September 22, 2008 as a part of ABC's fall 2008 line-up.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Which 2002 television drama film directed by Oz Scott starred the actor best known for his role as Stanley on ""The Cosby Show""?","Play'd: A Hip Hop Story is 2002 television drama film starring Rashaan Nall, Faizon Love, Toni Braxton and Merlin Santana (who would later be shot and killed five months later after the film's release). Santana was best known for his roles as Rudy Huxtable's boyfriend Stanley on ""The Cosby Show"", Marcus Dixon on ""Getting By"", Marcus Henry in ""Under One Roof"" and as high school student Romeo Santana on The WB sitcom ""The Steve Harvey Show"".",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"The Australian cricket team toured Sri Lanka from 6 August to 20 September 2011, four uncapped players had been named in the Australian Test squad, including Shaun Edward Marsh, an Australian cricketer who plays for the Western Warriors in Australian domestic cricket and has represented Australia at Test, One Day International and Twenty20 International levels, and nicknamed SOS, an acronym of what ?"," Four uncapped players had been named in the Australian Test squad; Shaun Marsh, Trent Copeland, James Pattinson and Nathan Lyon. Nicknamed SOS (""Son of Swampy""), he is a left-handed opening batsman and very occasional spin bowler.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Are Robert Wiene and Chris Buck both nationals of the same country ?,"Robert Wiene (] ; 27 April 1873 – 17 July 1938) was a film director of the German silent cinema.Chris Buck (born 1960/1961) is an American film director known for co-directing ""Tarzan"" (1999), ""Surf's Up"" (2007) (which was nominated for the 2008 Oscar for Best Animated Feature), and ""Frozen"" (2013) (which won the Oscar for Best Animated Feature in 2014).",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Which song is sampled in ""Sugar"", a song from the 2015 album of the same name by Robin Schulz?","Sugar is the second studio album by German DJ and record producer Robin Schulz, it was released on 25 September 2015. The album includes the singles ""Headlights"", ""Sugar"", ""Show Me Love"", and ""Heatwave"".""Sugar"" is a song by German DJ and record producer Robin Schulz. The song was released in Germany on 17 July 2015, and samples Baby Bash's 2003 single ""Suga Suga"".",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Are Beyond the Call and King Gimp both documentaries?,Beyond the Call is a 2006 documentary film about three middle-aged men who are former soldiers and modern-day knights.King Gimp is a 1999 documentary that was awarded the 2000 Academy Award for Best Short Subject Documentary and 2000 Peabody Award.,FAIL,PASS,0,0,0,0,0,0
What was the original name of the gazette that publishes Lytham St Annes Express?," It is published by the Blackpool Gazette and therefore owned by Johnson Press. It was founded as ""The West Lancashire Evening Gazette"" in 1929 before being renamed the ""Evening Gazette"", and then ""Blackpool Gazette"".",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Warren Beatty and William Dieterle, are American?","Henry Warren Beatty (""né"" Beaty; born March 30, 1937), better known as Warren Beatty, is an American actor and filmmaker.William Dieterle (July 15, 1893 – December 9, 1972) was a German actor and film director, who worked in Hollywood for much of his career.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
" Where is a multi-use indoor arena, that was opened byan English ice dancer who won a gold medal at the 1984 Winter Olympics, located at?","Motorpoint Arena Nottingham (originally the Nottingham Arena, formerly the Capital FM Arena Nottingham) is a multi-use indoor arena located within the National Ice Centre in the Lace Market district of Nottingham, England. With Christopher Dean, she won a gold medal at the 1984 Winter Olympics and a bronze medal at the 1994 Winter Olympics.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
What was the population as of the 2010 census of the city where Elston Hall is located?,"Elston Hall, formerly the Hotel Van Curler, is located on Washington Street in the city of Schenectady, New York, United States. As of the 2010 census, the city had a population of 66,135.",FAIL,"FAIL

### Reasoning:
The population of the city where Elston Hall is located as of the 2010 census is 66,135.",0.151515152,8.23E-232,0.11111111,0.11111111,0.052631579,1
"What independent, non-profit, publishing co-operative, based in Oxford, United Kingdom,Predominantly known for its monthly independent magazine, is in partnership with  world music compilation album producer Phil Stanton?"," The compilation was produced by Phil Stanton, co-founder of the World Music Network, in partnership with New Internationalist magazine. Predominantly known for its monthly independent magazine, it describes itself as existing to 'cover stories the mainstream media sidestep and provide alternative perspectives on today's global critical issues.'",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Bulawayo Railway Museum, is a railway museum located at Bulawayo railway station in Zimbabwe, formerly Rhodesia, its oldest exhibits date back to 1897, and include Cecil Rhodes' personal railway coach, he  was a British businessman, mining magnate and politician in which country?"," Its oldest exhibits date back to 1897, and include Cecil Rhodes' personal railway coach.Cecil John Rhodes PC (5 July 1853 – 26 March 1902) was a British businessman, mining magnate and politician in South Africa, who served as Prime Minister of the Cape Colony from 1890 to 1896.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Mudvayne's single ""Happy?"" was the theme song of a PPV event that was held in what city?"," The song was the theme song of ""WWE Vengeance 2005"" and has been played as a commercial bumper track for ""The Jim Rome Show"".Vengeance (2005) was a professional wrestling pay-per-view (PPV) event produced by World Wrestling Entertainment (WWE) and presented by THQ's ""Juiced"", which took place on June 26, 2005, at the Thomas & Mack Center in Las Vegas, Nevada.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Monsters of Folk includes a member of what musical duo that includes Zooey Deschanel?,"Monsters of Folk is an American supergroup, consisting of Jim James from My Morning Jacket, Conor Oberst and Mike Mogis from Bright Eyes, Will Johnson from Centro-matic and M. Ward, solo artist and half of She & Him.She & Him is an American musical duo consisting of Zooey Deschanel (vocals, piano, ukulele) and M. Ward (guitar, production).",FAIL,PASS,0,0,0,0,0,0
Did Skin and Laura Stoica both sing?,"Adriana-Laurenția ""Laura"" Stoica (10 October 1967 – 9 March 2006) was a Romanian singer, composer and actress.Deborah Anne Dyer (born 3 August 1967), known by the stage name Skin, is an English singer, an electronic music DJ, and occasional model.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
The author of books about Ugenia Lavender was also in a pop girl group that was formed in what year?,"Ugenia Lavender is the title character in a series of children's novels written by Geri Halliwell, who achieved fame as a member of the Spice Girls and as a solo singer-songwriter before deciding to pursue a career as an author.The Spice Girls were an English pop girl group formed in 1994.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"which American composer did Anthony Ramos originated the role of Justin Laboy in his short musical ""21 Chump Street"""," Prior to that, he originated the role of Justin Laboy in Lin-Manuel Miranda's short musical ""21 Chump Street"".Lin-Manuel Miranda ( ; born January 16, 1980) is an American composer, lyricist, playwright, and actor best known for creating and starring in the Broadway musicals ""Hamilton"" and ""In the Heights"".",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Which team did the head coach of the 1985 Oklahoma Sooners lead to a Super Bowl victory ?,"The 1985 NCAA Division I-A football season saw the Oklahoma Sooners, led by head coach Barry Switzer, win the national championship. He served for 16 years as head football coach at the University of Oklahoma and four years as head coach for the Dallas Cowboys of the National Football League (NFL). He helped the Cowboys win Super Bowl XXX against the Pittsburgh Steelers.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
What province are both cities of Shuangliao and Panshi in?,"Shuangliao () is a city in western Jilin, People's Republic of China, bordering Liaoning and Inner Mongolia.Panshi () is a city of south-central Jilin province of Northeast China.",FAIL,PASS,0,0,0,0,0,0
What country is Fraser Heights Secondary School in?,"Fraser Heights Secondary is a public high school in an upper-class neighbourhood of Surrey, British Columbia part of School District 36 Surrey.Surrey is a city in the province of British Columbia, Canada.",FAIL,PASS,0,0,0,0,0,0
Who is the current guitarist for the band that released the album This Is Your Way Out?,"This Is Your Way Out is the first EP record by Emarosa, released May 1, 2007. The band currently consists of founding members ER White (lead guitar) and Jordan Stewart (keyboards), as well as lead vocalist Bradley Walden and rhythm guitarist Marcellus Wallace.",FAIL,PASS,0,0,0,0,0,0
What song did the future wife of Brian May take to Number Four in the UK singles chart ?," The song reflected the breakdown of May's first marriage and attraction to his future wife, Anita Dobson. In 1986, she reached number four in the UK Singles Chart with ""Anyone Can Fall in Love"", a song based on the theme music of ""EastEnders"".",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Valley Apparel LLC is a brand of clothing that consists of what type of casual jacket that was originally created for military pilots, and eventually became part of popular culture and apparel?","Valley Apparel L.L.C. is a United States brand of clothing consisting of Flight jackets and military outerwear manufactured in Knoxville, Tennessee for the United States Armed Forces.A flight jacket is a casual jacket that was originally created for military pilots and eventually became part of popular culture and apparel.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
When was the second extended play of the American singer and songriter best known as the clean vocalist in post-hardcore band Dance Gavin Dance released?,"Patient is the second extended play (EP) by American singer and songwriter Tilian Pearson. It was released on September 1, 2017 on Vital Records. He is best known as the clean vocalist in post-hardcore band Dance Gavin Dance.",FAIL,PASS,0,0,0,0,0,0
"Brisingr is the third novel in the ""Inheritance Cycle"", is a young adult tetralogy of high fantasy novels written by which American author?","Brisingr is the third novel in the ""Inheritance Cycle"" by Christopher Paolini.The Inheritance Cycle is a young adult tetralogy of high fantasy novels written by American author Christopher Paolini.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
How many gatherings take place every Sunday at the church that Pascoe St Leger Grenfell donated an acre of land for?," He was a valued committee member of the South Australian Church Society, and, among other things, he is known for the donation of an acre of land on North Terrace, Adelaide which was used for the construction of the Holy Trinity Church — one of the first churches built in the city and the colony. Trinity City has four gatherings at the North Terrace location each Sunday, as well as various other meetings throughout the week.",FAIL,The answer is 'FAIL'.,0,0,0,0,0,0
What English actor who played the role of Q in James Bond films held a supporting role in The Danish Girl?," The film stars Eddie Redmayne as Elbe, one of the first known recipients of sex reassignment surgery, Alicia Vikander as Wegener and Sebastian Koch as Kurt Warnekros, with Ben Whishaw, Amber Heard and Matthias Schoenaerts in supporting roles. He has also played the role of Q in the James Bond films ""Skyfall"" (2012) and ""Spectre"" (2015), as well being the voice of Paddington Bear in ""Paddington"" (2014) and ""Paddington 2"" (2017).",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Who is the bass player in the band that sang the song ""All We Ever Knew""?","""All We Ever Knew"" is a song written and recorded by American folk band The Head and the Heart, released as the lead single for their third studio album ""Signs of Light"" by Warner Bros. The band also includes Charity Rose Thielen (violin, guitar, vocals), Chris Zasche (bass), Kenny Hensley (piano), and Tyler Williams (drums).",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
Whitey Hilcher played for a baseball team that joined the National League (NL) in what year?,"Walter Frank ""Whitey"" Hilcher (February 28, 1909 – November 21, 1962) was a Major League Baseball pitcher. Hilcher played for the Cincinnati Reds in , , , and .The Cincinnati Reds are an American professional baseball team based in Cincinnati, Ohio. They were a charter member of the American Association in 1882 and joined the NL in 1890.",FAIL,PASS,0,0,0,0,0,0
West Ridge and the ridge that has IndependenceAvenue/Liberation Avenue as its eastern boundary are separated by what road? ," Castle Road separates West Ridge from the northern neighborhood of North Ridge. The Kanda highway serves as the district's western boundary, while the Independence Avenue/Liberation Avenue is the eastern boundary. The headquarters of the Bureau of National Investigations is located in North Ridge.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
What is the ethnic background of this American educator and politician from the Democratic Party who was re-elected as a US senator representing Hawaii in 1994?," Incumbent Democratic U.S. Senator Daniel Akaka won re-election to his first full term.Daniel Kahikina Akaka ( ; born September 11, 1924) is an American educator and politician who was a United States Senator from Hawaii from 1990 to 2013. A member of the Democratic Party, Akaka was the first U.S. Senator of Native Hawaiian ancestry.",FAIL,PASS,0,0,0,0,0,0
"The musician that plays the sax solo on the Great White song ""Gone with the Wind"" is a member of a band inducted in to the Rock and Roll Hall of Fame in what year?"," Clarence Clemons of the E Street Band plays the sax solo on ""Gone with the Wind"". The band was inducted into the Rock and Roll Hall of Fame in 2014.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Who is older, Alexander Razborov or Pyotr Novikov?","Aleksandr Aleksandrovich Razborov (Russian: Алекса́ндр Алекса́ндрович Разбо́ров ; born February 16, 1963), sometimes known as Sasha Razborov, is a Soviet and Russian mathematician and computational theorist.Pyotr Sergeyevich Novikov (Russian: Пётр Серге́евич Но́виков ; 15 August 1901, Moscow, Russian Empire – 9 January 1975, Moscow, Soviet Union) was a Soviet mathematician.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
"What camp, started by the United States War Department was used as a military training facility and a detention for American citizens of Japanese descent located in New York?",The Recruit Educational Center was a program started by the US War Department in May 1919 at Camp Upton. It provided language instruction and military training for non-English-speaking and illiterate military inductees.Camp Upton was an installation of the United States Army during World War I. During World War II it was used to incarcerate American citizens of Japanese descent.,FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
Structure & Dynamics of the Psyche is Volume 8 in a book series edited and translated by whom?,"Structure & Dynamics of the Psyche is Volume 8 in ""The Collected Works of C. G. Jung"", a series of books published by Princeton University Press in the U.S. and Routledge & Kegan Paul in the U.K. The volumes were edited and translated from the original German by Gerhard Adler and R.F.C. Hull, occasionally with assistance from others.",FAIL,PASS,0,0,0,0,0,0
Vinci and Heroscape are both examples of what?,"Vinci is a board game designed by Philippe Keyaerts.Heroscape (stylized as ""heroScape"" or ""HeroScape"") is an expandable turn-based miniature wargaming system originally manufactured by Milton Bradley Company, and later by Wizards of the Coast, both subsidiaries of Hasbro, Inc., and discontinued by Hasbro in November 2010. The game is played using pre-painted miniature figures on a board made from interlocking hexagonal tiles that allow for construction of a large variety of 3D playing boards.",FAIL,PASS,0,0,0,0,0,0
"Which sculpture, located at Placa del Rei, was created by the Basque artist notable for his abstract works?","Topos V, or simply Topos, is a sculpture by the Basque artist Eduardo Chillida, standing at Plaça del Rei in the Gothic Quarter of Barcelona.Eduardo Chillida Juantegui, or Eduardo Txillida Juantegi in Basque, (10 January 1924 – 19 August 2002) was a Spanish Basque sculptor notable for his monumental abstract works.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
"Based in Span and Portugal, which tasty breakfast snack features sprinkled sugar and a mixture of ground cinnamon?","Cinnamon sugar is a mixture of ground cinnamon and granulated sugar used as a spice for desserts. It is commonly used to flavor foods such as Belgian waffles, Snickerdoodle cookies, churros and coffee cake. Churros are traditional in Spain and Portugal - from where they originate - as well as the Philippines and Ibero-America. Sugar is often sprinkled on top.",FAIL,PASS,0,0,0,0,0,0
Ivan Rival is a professor of computer science at a univeristy located in what residential neighbourhood?,"Ivan Rival (March 15, 1947 – January 22, 2002 in Ottawa, Ontario, Canada) was a Canadian mathematician and computer scientist, a professor of mathematics at the University of Calgary and of computer science at the University of Ottawa. The main campus is located on 42.5 ha in the residential neighbourhood of Sandy Hill, adjacent to Ottawa's Rideau Canal.",FAIL,PASS,0,0,0,0,0,0
In the foothills of what mountain is the oldest continually operating brewery in Australia?,"Cascades is a suburb of Hobart, Tasmania, Australia. It is immediately west of the city centre, in the foothills of Mount Wellington. It is the location of the Cascade Brewery.Cascade Brewery is a brewery established in 1832 in South Hobart, Tasmania and is the oldest continually operating brewery in Australia.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
Which Australian brand designer was responsible for the leading identity of the second-largest Australian ailine after Qantas?,"Hans Hulsbosch is an Australian brand designer, responsible for the development of many of Australia's leading identities including Qantas, Woolworths.and Virgin Australia.Virgin Australia Airlines Pty Ltd, formerly Virgin Blue Airlines, is Australia's second-largest airline after Qantas and it is the largest airline by fleet size to use the 'Virgin' brand.",FAIL,PASS,0,0,0,0,0,0
"Who is in the boy band Infinite, Nam Woo-hyun or Tom Smith?","Nam Woo-hyun (Hangul: 남우현 ; Hanja: 南優賢 ; born February 8, 1991), commonly known by his mononym Woohyun, is a South Korean singer and actor with the boy band Infinite.Thomas Michael Henry Smith (born 29 April 1981) is an English musician. He is the lead singer, lyricist, keyboardist and rhythm guitarist for the Birmingham-based indie rock band Editors.",PASS,FAIL,0,0,0,0,0,0
Der Mond was composed by the man who was best known for what cantata?,"Der Mond (""The Moon"") is an opera in one act by Carl Orff based on a Grimm's fairy tale) with a libretto by the composer.Carl Heinrich Maria Orff (] ; (1895--)10 1895 – (1982--)29 1982 ) was a German composer, best known for his cantata ""Carmina Burana"" (1937).",FAIL,PASS,0,0,0,0,0,0
"The Battle of Jericho, located in Tell es-Sultan, was documented in what book of the Bible?"," Excavations at Tell es-Sultan, the biblical Jericho, have failed to produce data to substantiate the biblical story, and scholars are virtually unanimous that the Book of Joshua holds little historical value. Epipaleolithic construction at the site appears to predate the invention of agriculture, with the construction of Natufian structures beginning earlier than 9000 BC, the very beginning of the Holocene epoch in geologic history.",FAIL,"FAIL

The Battle of Jericho was documented in the Book of Joshua, not the Book of Judges.",0.178571429,8.73E-232,0.142857142,0.142857142,0.066666667,1
Jaroslav Seifert and Harlan Coben are both what?,"Jaroslav Seifert (] ; 23 September 1901 – 10 January 1986) was a Nobel Prize–winning Czechoslovak writer, poet and journalist.Harlan Coben (born January 4, 1962) is an American writer of mystery novels and thrillers.",PASS,PASS,0.5,1.82E-231,0.999999995,0.999999995,1,1
Who originated the proposition of the theory of gravitation?,"Le Sage's theory of gravitation is a kinetic theory of gravity originally proposed by Nicolas Fatio de Duillier in 1690 and later by Georges-Louis Le Sage in 1748. Fatio is known for his work on the zodiacal light problem in astronomy, for originating the ""push"" or ""shadow"" theory of gravitation, for his close association with both Christiaan Huygens and Isaac Newton, and for his role in the Newton v. Leibniz calculus controversy.",FAIL,FAIL,0.5,1.82E-231,0.999999995,0.999999995,1,1
