question,targets,base_model
Which magazine was started first Arthur's Magazine or First for Women?,1,1
The Oberoi family is part of a hotel company that has a head office in what city?,0,1
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",0,1
 What nationality was James Henry Miller's wife?,0,1
"Cadmium Chloride is slightly soluble in this chemical, it is also called what?",1,1
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",1,1
Which genus of moth in the world's seventh-largest country contains only one species?,1,1
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",0,1
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",0,1
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,0,1
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",0,1
"Gunmen from Laredo starred which narrator of ""Frontier""?",1,1
Where did the form of music played by Die Rhöner Säuwäntzt originate?,0,1
In which American football game was Malcolm Smith named Most Valuable player?,0,1
"What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?",1,1
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",1,1
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,0,1
"Human Error"" is the season finale of the third season of a tv show that aired on what network?",1,1
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",1,1
"American politician Joe Heck ran unsuccessfully against Democrat Catherine Cortez Masto, a woman who previously served as the 32nd Attorney General of where?",0,1
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",1,1
Which  American politician did Donahue replaced ,1,1
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",0,1
How old is the female main protagonist of Catching Fire?,0,1
Chang Ucchin was born in korea during a time that ended with the conclusion of what? ,1,1
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,0,1
"New Faces of 1952 is a musical revue with songs and comedy skits, it helped jump start the career of which young performer, and American actress?",0,1
Were Pavel Urysohn and Leonid Levin known for the same type of work?,0,1
Are both The New Pornographers and Kings of Leon American rock bands?,1,1
"750 7th Avenue and 101 Park Avenue, are located in which city?",1,1
"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",1,1
"Who was born first, Pablo Trapero or Aleksander Ford?",1,1
Are Jane and First for Women both women's magazines?,1,1
What profession does Nicholas Ray and Elia Kazan have in common?,1,1
Where is the company that purchased Aixam based in?,0,1
"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",1,1
"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",1,1
Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,1,1
"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?  ",1,1
"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",1,1
The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,1,1
"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",0,1
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,0,1
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,0,1
"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",0,1
"Who was born first, Francis Nethersole or Elizabeth Stuart?",0,1
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,0,1
"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",0,1
What male actor starred in The Messenger?,1,1
Are Gin and tonic and Paloma both cocktails based on tequila?,0,1
Who is older Glenn Hughes or Ross Lynch?,0,1
"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?",0,1
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,0,1
In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,1,1
"Lee Jun-fan played what character in ""The Green Hornet"" television series?",1,1
"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",1,1
"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",0,1
"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",1,1
"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",0,1
"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",0,1
"Which band has more members, Saint Motel or Curve?",1,1
"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?  ",1,1
"Which private research university is located in Chestnut Hill, Massachusetts Boston College or Stanford University? ",1,1
"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah"".",1,1
Iqaluit Airport and Canadian North are based out of what country?,1,1
In what political party was the man who officially opened he Royal Spa Centre in 1972?,1,1
Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,0,1
Are both Tim McIlrath and Spike Slawson American punk rock musicians?,0,1
"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",0,1
"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",0,1
"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",0,1
What profession does Am Rong and Alexandre Rockwell have in common?,1,1
El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,1,1
Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,0,1
What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,1,1
what is the connection between Peter O'Meara and Norman Dike?,0,1
"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",1,1
Who developed the prototype pacemaker used by the 34th President of the USA?,0,1
Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,0,1
"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",0,1
Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?,1,1
"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",0,1
What year was the winner of the 2016 Marrakesh ePrix born?,1,1
"South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?",1,1
According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,0,1
What actor in the film D.C. Cab also had a role in the TV series Barney Miller?,0,1
Which industry do Richard Hawley and Chicago's Catherine belong to? ,1,1
Are Pam Veasey and Jon Jost both American?,1,1
Maurice Hines and his brother were famous for what?,0,1
Are the New Orleans Outfall Canals the same length as the Augusta Canal?,0,1
In which stadium do the teams owned by Myra Kraft's husband play?,0,1
What southern California based band covered Blue Öyster Cult's Godzilla?,1,1
"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",1,1
"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",0,1
"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",0,1
Who invented the type of script used in autographs?,0,1
Approximately what percentage of the global population is made up of the ethnic group Princess Fragrant was produced to improve relations with?,1,1
The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,1,1
The Thoen Stone is on display at a museum in what county?,1,1
"Is Children's National Medical Center or MedStar Washington Hospital Center the largest private hospital in Washington, D.C.?",1,1
"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",0,1
"The airline operating in Whitehorse, Yukon handled how many passengers in 2012?",1,1
"What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?",1,1
Are Wenling and Xinzheng both in China?,1,1
What is the birth date of the coach of the 2014-15 Michigan Wolverines men's basketball team?,0,1
"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?""",1,1
Where is the base of one of the three main British intelligence agencies?,0,1
"When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ? ",0,1
What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,0,1
"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?""",1,1
Who hosted both Miss USA 1968 and The Price Is Right?,1,1
What video game published by Sierra Entertainment includes an antagonist figure who's mystery is the core of the series? ,0,1
Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?,1,1
The Bass Rock Lighthouse was next to what Castle?,0,1
"Gülhane Park and Zografeion Lyceum, are located in which country?",1,1
"What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?",1,1
What genre of music is the solo artist that contributed to Real Damage a variant of?,0,1
Jake David Shapiro was best know for being the screenwriter of a film directed by who?,1,1
"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?",1,1
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,0,1
What state does Sang-Wook Cheong work as a materials scientist?,1,1
What type of vegetation does Kniphofia and Baptisia have in common?,1,1
"Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?",1,1
"Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?",1,1
The 1976 German Grand Prix was won by a driver who retired in what year?,0,1
What event at the Asian Junior Athletics Championships has men and women competing at the same time?,0,1
Which 1999 French Open - Women's Doubles runner-up was born in Russia on 7 June 1981?,0,1
What is the length of the River which has Wild Horse Creek as a tributary ?,1,1
Are Manhattan West and Singer Building both projects in New York?,1,1
Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?,1,1
"Between two tennis players Kim Clijsters and Mary Pierce, who is older?",0,1
Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,0,1
