Question,Answer
Who is at risk for Lymphocytic Choriomeningitis (LCM)? ?,"LCMV infections can occur after exposure to fresh urine, droppings, saliva, or nesting materials from infected rodents. Transmission may also occur when these materials are directly introduced into broken skin, the nose, the eyes, or the mouth, or presumably, via the bite of an infected rodent. Person-to-person transmission has not been reported, with the exception of vertical transmission from infected mother to fetus, and rarely, through organ transplantation."
What are the treatments for Lymphocytic Choriomeningitis (LCM) ?,"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment based on severity. Anti-inflammatory drugs, such as corticosteroids, may be considered under specific circumstances. Although studies have shown that ribavirin, a drug used to treat several other viral diseases, is effective against LCMV in vitro, there is no established evidence to support its routine use for treatment of LCM in humans."
What is (are) Parasites - Cysticercosis ?,"Cysticercosis is an infection caused by the larvae of the parasite Taenia solium. This infection occurs after a person swallows tapeworm eggs. The larvae get into tissues such as muscle and brain, and form cysts there (these are called cysticerci). When cysts are found in the brain, the condition is called neurocysticercosis."
What are the treatments for Parasites - Cysticercosis ?,Some people with cysticercosis do not need to be treated. There are medications available to treat cysticercosis for those who do need treatment. Sometimes surgery may be needed. Your doctor will advise you on which treatment is best for you. More on: Resources for Health Professionals: Treatment More on: Taeniasis
What is (are) Parasites - Trichuriasis (also known as Whipworm Infection) ?,Whipworm (Trichuris trichiura) is an intestinal parasite of humans. The larvae and adult worms live in the intestine of humans and can cause intestinal disease. The name is derived from the worm’s distinctive whip-like shape.
How to diagnose Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The standard method for diagnosing the presence of whipworm is by microscopically identifying whipworm eggs in a stool sample. Because eggs may be difficult to find in light infections, a concentration procedure is recommended."
What are the treatments for Parasites - Trichuriasis (also known as Whipworm Infection) ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment. Infections are generally treated for 3 days. The recommended medications are effective. Health care providers may decide to repeat a stool exam after treatment. Iron supplements may also be prescribed if the infected person suffers from anemia. More on: Resources for Health Professionals: Treatment"
what are marine toxins?,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood. The seafood contaminated with these chemicals frequently looks, smells, and tastes normal. When humans eat such seafood, disease can result."
how can these diseases be treated for Marine Toxins ?,"Other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning. Antihistamines and epinephrine, however, may sometimes be useful in treating the symptoms of scombrotoxic fish poisoning. Intravenous mannitol has been suggested for the treatment of severe ciguatera poisoning."
what can i do to prevent poisoning by marine toxins?,General guidelines for safe seafood consumption:
what else can be done to prevent these diseases for Marine Toxins ?,"It is important to notify public health departments about even one person with marine toxin poisoning. Public health departments can then investigate to determine if a restaurant, oyster bed, or fishing area has a problem. This prevents other illnesses. In any food poisoning occurrence, consumers should note foods eaten and freeze any uneaten portions in case they need to be tested. A commercial test has been developed in Hawaii to allow persons to test sport caught fish for ciguatoxins."
What is (are) Yellow Fever Vaccination ?,"If you continue to live or travel in yellow fever-endemic areas, you should receive a booster dose of yellow fever vaccine after 10 years. After receiving the vaccine, you should receive an International Certificate of Vaccination (yellow card) that has been validated by the vaccination center. This Certificate becomes valid 10 days after vaccination and lasts for 10 years. You will need this card as proof of vaccination to enter certain countries."
What is (are) Parasites - Schistosomiasis ?,"Schistosomiasis, also known as bilharzia, is a disease caused by parasitic worms. Infection with Schistosoma mansoni, S. haematobium, and S. japonicum causes illness in humans; less commonly, S. mekongi and S. intercalatum can cause disease. Although the worms that cause schistosomiasis are not found in the United States, more than 200 million people are infected worldwide."
How to diagnose Parasites - Schistosomiasis ?,"Stool or urine samples can be examined microscopically for parasite eggs (stool for S. mansoni or S. japonicum eggs and urine for S. haematobium eggs). The eggs tend to be passed intermittently and in small amounts and may not be detected, so it may be necessary to perform a blood (serologic) test. More on: Resources for Health Professionals: Diagnosis"
What are the treatments for Parasites - Schistosomiasis ?,"Safe and effective medication is available for treatment of both urinary and intestinal schistosomiasis. Praziquantel, a prescription medication, is taken for 1-2 days to treat infections caused by all Schistosoma species. More on: Resources for Health Professionals: Treatment"
What is (are) Parasites - Lice - Head Lice ?,"The head louse, or Pediculus humanus capitis, is a parasitic insect that can be found on the head, eyebrows, and eyelashes of people. Head lice feed on human blood several times a day and live close to the human scalp. Head lice are not known to spread disease."
How to diagnose Parasites - Lice - Body Lice ?,"Body lice infestation is diagnosed by finding eggs and crawling lice in the seams of clothing. Sometimes a body louse can be seen crawling or feeding on the skin. Although body lice and nits can be large enough to be seen with the naked eye, a magnifying lens may be necessary to find crawling lice or eggs."
What is (are) Parasites - Toxocariasis (also known as Roundworm Infection) ?,Frequently Asked Questions (FAQs) Fact Sheets
What are the treatments for Parasites - Toxocariasis (also known as Roundworm Infection) ?,Visceral toxocariasis can be treated with antiparasitic drugs such as albendazole or mebendazole. Treatment of ocular toxocariasis is more difficult and usually consists of measures to prevent progressive damage to the eye. More on: Resources For Health Professionals: Treatment
What is (are) Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,"Acanthamoeba is a microscopic, free-living ameba (single-celled living organism) commonly found in the environment that can cause rare, but severe, illness. Acanthamoeba causes three main types of illness involving the eye (Acanthamoeba keratitis), the brain and spinal cord (Granulomatous Encephalitis), and infections that can spread throughout the entire body (disseminated infection)."
How to prevent Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,Topics
Who is at risk for Alkhurma Hemorrhagic Fever (AHF)? ?,"Contact with livestock with tick exposure are risk factors for humans, as is contact with infected ticks, whether through crushing the infected tick with unprotected fingers or by a bite from an infected tick. Slaughtering of animals which may acutely but asymptomatically infected may also be a risk factor, as it is possible that infected animals develop a viremia without obvious clinical signs."
How to diagnose Alkhurma Hemorrhagic Fever (AHF) ?,"Clinical diagnosis could be difficult due to similarities between AVHF, Crimean-Congo Hemorrhagic fever (CCHF), and Rift Valley fever (RVF), which occur in similar geographic areas. Laboratory diagnosis of AHF can be made in the early stage of the illness by molecular detection by PCR or virus isolation from blood. Later, serologic testing using enzyme-linked immunosorbent serologic assay (ELISA) can be performed."
What are the treatments for Alkhurma Hemorrhagic Fever (AHF) ?,"There is no standard specific treatment for the disease. Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pressure, and treatment for any complications. Mortality in hospitalized patients ranges from 1-20%."
What are the treatments for Parasites - Taeniasis ?,"Treatment is available after accurate diagnosis. Your doctor will provide prescription medication, either praziquantel or niclosamide, which is taken by mouth. The medication is also available in a children’s dosage. Work with your health care provider for proper treatment options for you and your family. More on: Resources For Health Professionals: Treatment"
What are the treatments for Parasites - Baylisascaris infection ?,"No drugs have been shown to be totally effective for the treatment of Baylisascaris infection. Albendazole, a broad spectrum anthelmintic, has been recommended for specific cases. Early treatment might reduce serious damage caused by the infection. Should you suspect you may have ingested raccoon feces, seek immediate medical attention. More on: Resources for Health Professionals: Treatment"
How to diagnose Parasites - Babesiosis ?,"In symptomatic people, babesiosis usually is diagnosed by examining blood specimens under a microscope and seeing Babesia parasites inside red blood cells. To be sure the diagnosis is correct, your health care provider might have specimens of your blood tested by a specialized reference laboratory (such as at CDC or a health department). More on: Resources for Health Professionals: Diagnosis"
What are the treatments for Parasites - Babesiosis ?,"Effective treatments are available. People who do not have any symptoms or signs of babesiosis usually do not need to be treated. Before considering treatment, the first step is to make sure the diagnosis is correct. For more information, people should talk to their health care provider. More on: Resources for Health Professionals: Treatment"
how common is botulism?,"In the United States, an average of 145 cases are reported each year.Of these, approximately 15% are foodborne, 65% are infant botulism, and 20% are wound. Adult intestinal colonization and iatrogenic botulism also occur, but rarely. Outbreaks of foodborne botulism involving two or more persons occur most years and are usually caused by home-canned foods. Most wound botulism cases are associated with black-tar heroin injection, especially in California."
What are the treatments for Marburg hemorrhagic fever (Marburg HF) ?,"There is no specific treatment for Marburg hemorrhagic fever. Supportive hospital therapy should be utilized, which includes balancing the patient's fluids and electrolytes, maintaining oxygen status and blood pressure, replacing lost blood and clotting factors, and treatment for any complicating infections. Experimental treatments are validated in non-human primates models, but have never been tried in humans."
What is (are) Parasites - Leishmaniasis ?,"Leishmaniasis is a parasitic disease that is found in parts of the tropics, subtropics, and southern Europe. Leishmaniasis is caused by infection with Leishmania parasites, which are spread by the bite of infected sand flies. There are several different forms of leishmaniasis in people. The most common forms are cutaneous leishmaniasis, which causes skin sores, and visceral leishmaniasis, which affects several internal organs (usually spleen, liver, and bone marrow)."
What is (are) Parasites - Hookworm ?,Hookworm is an intestinal parasite of humans. The larvae and adult worms live in the small intestine can cause intestinal disease. The two main species of hookworm infecting humans are Ancylostoma duodenale and Necator americanus.
How to diagnose Parasites - Hookworm ?,"The standard method for diagnosing the presence of hookworm is by identifying hookworm eggs in a stool sample using a microscope. Because eggs may be difficult to find in light infections, a concentration procedure is recommended."
What are the treatments for Parasites - Hookworm ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment of hookworm infections. Infections are generally treated for 1-3 days. The recommended medications are effective and appear to have few side effects. Iron supplements may also be prescribed if the infected person has anemia. More on: Resources for Health Professionals: Treatment"
How to prevent Parasites - Hookworm ?,"The best way to avoid hookworm infection is not to walk barefoot in areas where hookworm is common and where there may be human fecal contamination of the soil. Also, avoid other skin contact with such soil and avoid ingesting it. Infection can also be prevented by not defecating outdoors and by effective sewage disposal systems."
Who is at risk for Nocardiosis? ?,"The bacteria that cause nocardiosis are commonly found in soil and water. You could become sick with nocardiosis if: - You inhale (breathe in) the bacteria - Bacteria gets into an open wound or cut In rare cases, infection can occur during surgical procedures. Fortunately, nocardiosis is not spread person to person, so being around someone who has the disease will not make you sick."
What are the treatments for Nocardiosis ?,"If you think you might be sick with nocardiosis, talk to your doctor. He or she can help find out if you have the disease by performing tests that can identify the bacteria that causes nocardiosis. Testing may involve taking tissue samples from the part of the body that is infected. Tissue samples may include the: - Brain - Skin - Lungs (or other parts of the lower airways) - Mucus from the lower airways"
Who is at risk for Chapare Hemorrhagic Fever (CHHF)? ?,CHHF occurs in the Cochabamba region of Bolivia. Field workers Field workers are at greatest risk because of increased human contact with the reservoir rodent population. Sexual partners of field workers may be at greater risk as well. Laboratory infections have been frequently described with Arenaviruses and Chapare virus can certainly be transmitted to laboratory workers during manipulation of the virus especially during experimental infections of rodents.
How to prevent Chapare Hemorrhagic Fever (CHHF) ?,"Although rodent control would be desirable, it will not be a successful strategy for preventing Chapare hemorrhagic fever cases caused by exposures outdoors. As for other hemorrhagic fevers, full barrier nursing procedures should be implemented during management of suspected or confirmed CHHF cases."
how common is infection with y. enterocolitica for Yersinia ?,"Y. enterocolitica is a relatively infrequent cause of diarrhea and abdominal pain. Based on data from the Foodborne Diseases Active Surveillance Network (FoodNet), which measures the burden and sources of specific diseases over time, approximately one culture-confirmed Y. enterocolitica infection per 100,000 persons occurs each year. Children are infected more often than adults, and the infection is more common in the winter."
how can y. enterocolitica infections be diagnosed for Yersinia ?,"Y. enterocolitica infections are generally diagnosed by detecting the organism in the stools. Many laboratories do not routinely test for Y. enterocolitica,so it is important to notify laboratory personnel when infection with this bacterium is suspected so that special tests can be done. The organism can also be recovered from other sites, including the throat, lymph nodes, joint fluid, urine, bile, and blood."
